Token,Score
419,-2.7
 givemind,1.4
abeg,1.3
agbero,-0.5
ajebutter,2.6
ajekpako,-2.1
akagum,-1.6
akonuche,2.4
akpruka,2.3
align,1.5
amebo,-1.1
anyhow,-1.7
aproko,-0.7
ashawo,-2.7
ashawoquarter,-1.1
ashy,-2.1
awoof,1.6
babe,1.1
confam,1.9
bad belle,-1.7
bad mouth,-2.9
bam,1.9
beta,1.9
beg,0.4
bellefull,1.8
block,-1.6
bloodhot,0.6
boil,-2.5
bombom,-2.5
bone,-1.5
boning,-1.4
botti,2.6
broke,-2.6
cast,-1.5
catch,1.6
chichi,-0.8
chillax,1.3
china,-2.1
chinko,-2.1
chuk,-2.8
churchmind,1
chyke,2.1
clap,2
commot,-0.2
confuse,-1.3
confido,2.3
congratulobia,2.9
coole,1.3
correct,1.7
crawcraw,-1.7
crase,-2.2
cutcap,2.1
dagbo,-2.8
dash,1.9
delete,-3.7
discharge,0.7
doamback,-0.9
doback,-2.4
dolikepikin,-1.2
dondi,-1.7
dorty,-1.9
drag,-1.3
dragleg,-1.4
dull,-1
dundee,-2.4
duns,-2.4
edorcast,-0.3
efiko,2.8
end,1.6
endam,0.7
epp,2
example,-1.7
face,-0.7
fashi,-1.5
fine,2.2
finish,1.8
fit,1.6
flenjor,2.3
flex,2.2
flexing,2.4
flog,-1.8
form,-0.4
forming,0.4
free,2.1
freehand,1.4
fren,2.2
frosh,1.3
fuck,-1.5
fullground,1.5
gbadun,1.5
gbagan,-1.4
gbam,1.7
gbege,-3.4
gbola,-2.3
getluck,1.8
getmind,2.4
gimme,-0.4
jam,-1.5
gistin,-1.6
gragra,-1.1
gree,1.2
groove,2.2
guard,1.4
gumbodi,1.2
guru,2.3
hailing,2.5
halla,-1.7
happi,1.9
high,-1.4
hold,0.1
hook,-1
imgbeke,-1.2
indomie,-1.9
jagajaga,-2.8
jagbajantis,-1.7
jaguda,-1.7
jamesbond,-0.5
jass,1.7
jazz,-1.7
jeje,1.3
jejeli,2
jejely,0.5
jelorsi,-2
jjc,-1.1
jolly,2.7
jollyficate,2.7
jonz,-1.8
jonze,-1.3
jor,1.3
kakaraka,2.3
kala,-2.1
kampe,1.1
kamkpe,
kasala,-2.2
kash,-1.4
katakata,-1.9
keep,0.1
keepformind,-0.7
keli,-3.2
koko,0.1
kolo,-3.1
kondo,-0.8
kpafuka,-1.9
kpai,-3.5
kpako,-2.1
kpanda,-1.7
kpeme,-3.1
kpompi,1.3
kpuf,-2.9
laf,2.6
laff,2.6
laslas,-1.1
leak,-1.4
leave,-1.9
leaveam,0.9
legbere,-1.7
legit,0.5
lielie,-2.3
liver,2.2
lose,-1.3
lwkmh,2.9
magomago,-1.5
makesense,2.3
malu,-2
meguard,1.4
mellow,1.6
mind,2.2
monkey,-2.3
move,-2.2
mugu,-1.1
mumu,-2.3
na so,1.2
nack,-1.6
nalie,0.8
naso,1.6
noconfam,-0.5
nodo,-1.4
nofit,-1.7
nogetidea,-1.5
nogree,-1.2
nosend,1.7
nowell,-2
nta,-1.1
obtain,-2.6
ode,-1.8
ogbonge,2.8
ojoro,-2
ole,-2.4
onekain,-0.6
orobo,1.4
orosco,-3
oya,1.5
padi,2.2
pain,-1.6
palava,-1.3
para,-1.6
plan,-2.4
playplay,1.6
prick,-2.3
provoke,-1.7
raiseshoulder,2.1
rant,-1.4
raz,-1.2
reach,2.4
reasonyourmatter,2.2
reasonyourmatter before,1.8
reign,1.8
rest,1.9
sabi,1.7
sabiness,1
save,2.3
scratchscratch,-1.1
seefinish,-1.6
set,2.4
shake,-2.2
shameshame,-1
shiver,-2.2
simpu,0.8
skata,-2.8
slack,-1.4
smallsmall,2
smell,-1.7
smellysmelly,-2.5
smesme,-1.7
sofri,1.9
sori,-0.3
squeezeface,-1.4
stand,
stingykoko,-2.1
stronghead,-2
suegbe,-1.7
sufferhead,-1.5
surfresurfre,-0.4
tabon,-1.7
tatafo,-0.7
tian,-1.4
tiff,-2.2
tiffam,-2.2
taya,-1.4
toast,2.1
troway,-1
trowayface,-1.8
vamove,-0.2
vex,-2.3
wacko,-1.7
wahala,-1.7
wan,-0.4
waylay,-2.8
wayo,-1.1
werey,-2.2
wella,1.1
worri,-1
worwor,-2.3
wound,-1.7
wunjure,-1.7
wounjur,-1.7
wuruwuru,-2.8
yab,-2.1
yansh,-2.5
yawa,-1.7
yeye,-1.8
yimu,-1.3
shaparly,2.3
knack,-1.8
totori,1.7
gidigba,1.7
tanda,1.7
waya,-1.8
funi,1.9
joli,2.3
sidon,0.4
tori,0.3
orijo,1.3
tugbaski,2.3
guyman,2.2
twale,2.3
comot,-1.1
komot,-1.1
mata,0.3
hala,1.2
plenti,2.7
gbagam,1.2
deadi,-3.3
ansa,1.3
kari,0.6
carri,0.6
helep,1.7
chook,-2.8
gbosa,2.1
gbosas,2.1
trobu,-1.7
gbedu,1.8
luv,3.2
tank,1.5
wori,-1.9
kolobi,-1.1
domot,1.5
odeshi,2.2
wonda,1.8
