Clean_Content,Human_Label
we don realize hin importance after that city loss. maguire sabi defend.,positive
dem don nominate and second senator ovie omoagege as deputy senate president and him don accept di nomination,neutral
don come give una free awoof ...awoof!!! o .. stay glued on top all of our social media platforms as informate dey roll in,positive
coronavirus update: washing your hands with soap &amp; water na di koko hear wetin 🇳🇬music star asa_official dey advice,neutral
"people dey talk about iniesta, paul scholes, puyol, drogba, chioma and that agbero club chelsea. but i dey think about bruno fernandes and how e go improve our manchester united midfield. who else dey think about bruno like me?",positive
election latest,positive
ht: 1 v leicester city 0. thank god for mason wey dey go mountain of fire. he use vex knack confam shot wey tear leicester city net.,positive
sabi pikin pellegrini epp italo close shop yestaday as hin score for  ️,positive
which full-back is better?  for luke shaw like for roberto carlos,positive
we dey wish  hapi baidae as him turn 25 years old.,positive
"on dis day for 1927, tanda as official club for rome and we kolobi di city name, colours and symbol ️ so, dat m…",positive
"we dey live dey torchlight how pipo and  dey prepare for governorship election for different states for nigeria, you fit join us for hia  make you sef chook mouth",positive
73' batshuayi don enta for fada abraham.,positive
the red devils dey brim with confidence ahead of dem clash today. shey e go become their third victory in a row for ? get involved by predicting the outcome of the match:  follow:,positive
niels högel: di german ex-nurse go serve life sentence afta im kill 85 patients,negative
"55' jorginho don collect him mtn as usual. so far mount, rudiger and kante don collect mtn for first half.",positive
"frank lampard yarn say belle sweet am with the way the team play for second half but con say small small things na him make us we no dey win, jus see as we take free firmino him use him scatter our post for liverpool's second goal.",positive
last time wey sassuolo com olimpico nicolo zaniolo let all man know as e dey go! na 3 days remain to ...,positive
atewa forest 🇬🇭 don gain international recognition but for de wrong reason.  na oscar award-winning actor den environmental activist.,negative
90' batshuayi for score dia but he no score as valencia goalie gada the ball.,positive
"ed woodward: “na true say we no sign centre-back for 2018 summer as jose and the people wey dey recruit, bin get problem. but las las na me wey tell jose say i no dey buy anybody.”",positive
oga frank lampard don win barclays premier league manager of the month (october) award. supa frank!,positive
welkom back!,positive
david de gea don save us! e for be 2-2.,positive
